name,model,hardware,batch_size,precision,latency_ms,throughput_fps,energy_mj,energy_per_inf_mj,peak_mem_mb,utilization_pct
Batch 1,ResNet-18,TPU-v4,1,FP32,0.57,1765.9,62.09,62.09,55.0,8.7
Batch 4,ResNet-18,TPU-v4,4,FP32,1.77,2258.6,195.06,48.77,86.0,20.8
Batch 8,ResNet-18,TPU-v4,8,FP32,3.45,2319.5,379.89,47.49,127.3,24.4
Batch 16,ResNet-18,TPU-v4,16,FP32,5.84,2741.5,647.82,40.49,210.0,24.5
Batch 32,ResNet-18,TPU-v4,32,FP32,10.67,2997.8,1190.37,37.2,375.4,24.6
Batch 64,ResNet-18,TPU-v4,64,FP32,16.98,3768.3,1921.94,30.03,706.3,25.1
