name,model,hardware,batch_size,precision,latency_ms,throughput_fps,energy_mj,energy_per_inf_mj,peak_mem_mb,utilization_pct
Batch 1,ResNet-18,H100-PCIe-80GB,1,FP32,0.43,2317.5,48.89,48.89,55.0,10.2
Batch 4,ResNet-18,H100-PCIe-80GB,4,FP32,0.69,5815.3,84.44,21.11,86.0,19.0
Batch 8,ResNet-18,H100-PCIe-80GB,8,FP32,1.03,7733.1,132.35,16.54,127.3,22.3
Batch 16,ResNet-18,H100-PCIe-80GB,16,FP32,1.73,9259.9,228.17,14.26,210.0,24.7
Batch 32,ResNet-18,H100-PCIe-80GB,32,FP32,3.11,10274.1,419.83,13.12,375.4,26.4
Batch 64,ResNet-18,H100-PCIe-80GB,64,FP32,5.89,10869.4,803.13,12.55,706.3,27.6
