name,model,hardware,batch_size,precision,latency_ms,throughput_fps,energy_mj,energy_per_inf_mj,peak_mem_mb,utilization_pct
Batch 1,ResNet-50,TPU-v4,1,FP32,2.36,423.4,255.58,255.58,140.6,7.0
Batch 4,ResNet-50,TPU-v4,4,FP32,7.89,507.0,855.55,213.89,269.2,15.4
Batch 8,ResNet-50,TPU-v4,8,FP32,14.51,551.3,1577.0,197.13,440.7,21.7
Batch 16,ResNet-50,TPU-v4,16,FP32,22.79,702.2,2498.05,156.13,783.7,22.6
Batch 32,ResNet-50,TPU-v4,32,FP32,36.55,875.5,4048.01,126.5,1469.7,23.0
Batch 64,ResNet-50,TPU-v4,64,FP32,58.29,1098.0,6539.59,102.18,2841.7,23.1
