name,model,hardware,batch_size,precision,latency_ms,throughput_fps,energy_mj,energy_per_inf_mj,peak_mem_mb,utilization_pct
Batch 1,ResNet-50,H100-PCIe-80GB,1,FP32,1.14,878.2,130.09,130.09,140.6,9.8
Batch 4,ResNet-50,H100-PCIe-80GB,4,FP32,1.9,2104.2,237.08,59.27,269.2,19.8
Batch 8,ResNet-50,H100-PCIe-80GB,8,FP32,2.93,2732.9,380.8,47.6,440.7,23.8
Batch 16,ResNet-50,H100-PCIe-80GB,16,FP32,4.98,3212.7,668.23,41.76,783.7,26.7
Batch 32,ResNet-50,H100-PCIe-80GB,32,FP32,9.09,3522.0,1243.1,38.85,1469.7,28.5
Batch 64,ResNet-50,H100-PCIe-80GB,64,FP32,17.3,3700.0,2392.85,37.39,2841.7,29.6
